PUBLIC SATURATION 2026-05-28T01:24:41Z
opponent=famadeo base=242
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/famadeo.zip sha256=aa14124b4b7456155a8528573d653d0fa2e5c5816ca08b127bfef7af8fd3a531
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=242 o=0 hands=  75/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +133.33 hero_err=0 opp_err=0 dur=3.23s
seed=242 o=1 hands= 116/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +86.21 hero_err=0 opp_err=0 dur=4.83s
seed=1242 o=0 hands= 123/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -81.30 hero_err=0 opp_err=0 dur=5.59s
seed=1242 o=1 hands= 138/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +72.46 hero_err=0 opp_err=0 dur=6.45s
seed=2242 o=0 hands=  99/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +101.01 hero_err=0 opp_err=0 dur=3.72s
seed=2242 o=1 hands= 291/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -34.36 hero_err=0 opp_err=0 dur=11.32s
seed=3242 o=0 hands= 249/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +40.16 hero_err=0 opp_err=0 dur=10.38s
seed=3242 o=1 hands=  86/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -116.28 hero_err=0 opp_err=0 dur=3.33s
seed=4242 o=0 hands= 132/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +75.76 hero_err=0 opp_err=0 dur=5.10s
seed=4242 o=1 hands= 283/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +35.34 hero_err=0 opp_err=0 dur=11.13s
seed=5242 o=0 hands=  53/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +188.68 hero_err=0 opp_err=0 dur=2.69s
seed=5242 o=1 hands=  70/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -142.86 hero_err=0 opp_err=0 dur=3.91s
seed=6242 o=0 hands=  71/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +140.85 hero_err=0 opp_err=0 dur=4.30s
seed=6242 o=1 hands=  79/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -126.58 hero_err=0 opp_err=0 dur=4.14s
seed=7242 o=0 hands=  73/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -136.99 hero_err=0 opp_err=0 dur=3.73s
seed=7242 o=1 hands= 110/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +90.91 hero_err=0 opp_err=0 dur=4.69s
seed=8242 o=0 hands=  85/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -117.65 hero_err=0 opp_err=0 dur=4.93s
seed=8242 o=1 hands=  62/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -161.29 hero_err=0 opp_err=0 dur=4.17s
seed=9242 o=0 hands= 349/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +28.65 hero_err=0 opp_err=0 dur=14.02s
seed=9242 o=1 hands= 115/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +86.96 hero_err=0 opp_err=0 dur=5.81s
seed=10242 o=0 hands= 165/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +60.61 hero_err=0 opp_err=0 dur=6.22s
seed=10242 o=1 hands=  69/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +144.93 hero_err=0 opp_err=0 dur=3.58s
seed=11242 o=0 hands= 111/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +90.09 hero_err=0 opp_err=0 dur=5.44s
seed=11242 o=1 hands= 180/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -55.56 hero_err=0 opp_err=0 dur=7.43s
seed=12242 o=0 hands= 184/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -54.35 hero_err=0 opp_err=0 dur=7.87s
seed=12242 o=1 hands= 110/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -90.91 hero_err=0 opp_err=0 dur=6.11s
seed=13242 o=0 hands=  95/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +105.26 hero_err=0 opp_err=0 dur=5.08s
seed=13242 o=1 hands= 121/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -82.64 hero_err=0 opp_err=0 dur=5.63s
seed=14242 o=0 hands= 127/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -78.74 hero_err=0 opp_err=0 dur=5.11s
seed=14242 o=1 hands= 257/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -38.91 hero_err=0 opp_err=0 dur=10.35s
seed=15242 o=0 hands=  84/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +119.05 hero_err=0 opp_err=0 dur=4.11s
seed=15242 o=1 hands= 188/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +53.19 hero_err=0 opp_err=0 dur=7.05s
seed=16242 o=0 hands=  75/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -133.33 hero_err=0 opp_err=0 dur=2.79s
seed=16242 o=1 hands= 108/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -92.59 hero_err=0 opp_err=0 dur=4.41s
seed=17242 o=0 hands= 239/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +41.84 hero_err=0 opp_err=0 dur=11.06s
seed=17242 o=1 hands=  81/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +123.46 hero_err=0 opp_err=0 dur=4.52s
seed=18242 o=0 hands=  76/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +131.58 hero_err=0 opp_err=0 dur=3.95s
seed=18242 o=1 hands=  66/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +151.52 hero_err=0 opp_err=0 dur=3.68s
seed=19242 o=0 hands= 249/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -40.16 hero_err=0 opp_err=0 dur=9.10s
seed=19242 o=1 hands=  52/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -192.31 hero_err=0 opp_err=0 dur=3.50s
seed=20242 o=0 hands=  89/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +112.36 hero_err=0 opp_err=0 dur=3.87s
seed=20242 o=1 hands= 155/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +64.52 hero_err=0 opp_err=0 dur=6.09s
seed=21242 o=0 hands=  34/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +294.12 hero_err=0 opp_err=0 dur=2.12s
seed=21242 o=1 hands=  24/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -416.67 hero_err=0 opp_err=0 dur=2.05s
seed=22242 o=0 hands=  21/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +476.19 hero_err=0 opp_err=0 dur=1.42s
seed=22242 o=1 hands=  65/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -153.85 hero_err=0 opp_err=0 dur=3.46s
seed=23242 o=0 hands= 109/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +91.74 hero_err=0 opp_err=0 dur=5.14s
seed=23242 o=1 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=1.83s
seed=24242 o=0 hands=  67/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -149.25 hero_err=0 opp_err=0 dur=3.80s
seed=24242 o=1 hands=  92/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -108.70 hero_err=0 opp_err=0 dur=4.20s
seed=25242 o=0 hands=  70/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -142.86 hero_err=0 opp_err=0 dur=3.54s
seed=25242 o=1 hands= 106/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +94.34 hero_err=0 opp_err=0 dur=5.22s
seed=26242 o=0 hands=  65/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +153.85 hero_err=0 opp_err=0 dur=4.02s
seed=26242 o=1 hands=  63/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -158.73 hero_err=0 opp_err=0 dur=3.58s
seed=27242 o=0 hands=  63/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -158.73 hero_err=0 opp_err=0 dur=3.43s
seed=27242 o=1 hands= 199/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -50.25 hero_err=0 opp_err=0 dur=8.66s
seed=28242 o=0 hands= 342/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -29.24 hero_err=0 opp_err=0 dur=14.67s
seed=28242 o=1 hands=  94/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +106.38 hero_err=0 opp_err=0 dur=4.87s
seed=29242 o=0 hands= 169/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -59.17 hero_err=0 opp_err=0 dur=7.53s
seed=29242 o=1 hands=  96/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -104.17 hero_err=0 opp_err=0 dur=4.36s
seed=30242 o=0 hands=  80/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +125.00 hero_err=0 opp_err=0 dur=3.94s
seed=30242 o=1 hands= 133/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +75.19 hero_err=0 opp_err=0 dur=6.36s
seed=31242 o=0 hands=  47/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +212.77 hero_err=0 opp_err=0 dur=3.18s
seed=31242 o=1 hands= 157/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +63.69 hero_err=0 opp_err=0 dur=5.90s
seed=32242 o=0 hands=  76/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -131.58 hero_err=0 opp_err=0 dur=3.35s
seed=32242 o=1 hands= 189/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -52.91 hero_err=0 opp_err=0 dur=7.33s
seed=33242 o=0 hands= 201/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +49.75 hero_err=0 opp_err=0 dur=8.41s
seed=33242 o=1 hands= 431/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +23.20 hero_err=0 opp_err=0 dur=15.17s
seed=34242 o=0 hands=  84/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +119.05 hero_err=0 opp_err=0 dur=3.79s
seed=34242 o=1 hands=  67/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -149.25 hero_err=0 opp_err=0 dur=3.73s
seed=35242 o=0 hands=  24/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +416.67 hero_err=0 opp_err=0 dur=1.86s
seed=35242 o=1 hands= 137/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +72.99 hero_err=0 opp_err=0 dur=5.93s
seed=36242 o=0 hands=  95/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -105.26 hero_err=0 opp_err=0 dur=3.87s
seed=36242 o=1 hands=  56/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -178.57 hero_err=0 opp_err=0 dur=3.02s
seed=37242 o=0 hands= 105/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -95.24 hero_err=0 opp_err=0 dur=4.18s
seed=37242 o=1 hands=  64/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -156.25 hero_err=0 opp_err=0 dur=3.46s
seed=38242 o=0 hands=  63/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +158.73 hero_err=0 opp_err=0 dur=3.19s
seed=38242 o=1 hands=  36/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +277.78 hero_err=0 opp_err=0 dur=1.85s
seed=39242 o=0 hands= 141/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -70.92 hero_err=0 opp_err=0 dur=6.38s
seed=39242 o=1 hands=  40/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -250.00 hero_err=0 opp_err=0 dur=2.18s
seed=40242 o=0 hands= 109/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -91.74 hero_err=0 opp_err=0 dur=5.10s
seed=40242 o=1 hands=  54/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -185.19 hero_err=0 opp_err=0 dur=2.55s
seed=41242 o=0 hands=  33/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +303.03 hero_err=0 opp_err=0 dur=1.82s
seed=41242 o=1 hands=  49/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -204.08 hero_err=0 opp_err=0 dur=2.48s
seed=42242 o=0 hands= 103/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -97.09 hero_err=0 opp_err=0 dur=5.02s
seed=42242 o=1 hands= 121/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +82.64 hero_err=0 opp_err=0 dur=6.23s
seed=43242 o=0 hands=  94/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +106.38 hero_err=0 opp_err=0 dur=4.49s
seed=43242 o=1 hands=  61/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -163.93 hero_err=0 opp_err=0 dur=3.06s
seed=44242 o=0 hands= 107/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +93.46 hero_err=0 opp_err=0 dur=4.57s
seed=44242 o=1 hands=  20/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -500.00 hero_err=0 opp_err=0 dur=1.07s
seed=45242 o=0 hands=  25/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -400.00 hero_err=0 opp_err=0 dur=1.95s
seed=45242 o=1 hands=  44/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -227.27 hero_err=0 opp_err=0 dur=1.90s
seed=46242 o=0 hands= 297/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +33.67 hero_err=0 opp_err=0 dur=11.30s
seed=46242 o=1 hands= 212/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +47.17 hero_err=0 opp_err=0 dur=8.61s
seed=47242 o=0 hands= 236/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -42.37 hero_err=0 opp_err=0 dur=8.62s
seed=47242 o=1 hands= 103/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -97.09 hero_err=0 opp_err=0 dur=3.68s
seed=48242 o=0 hands=  51/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -196.08 hero_err=0 opp_err=0 dur=2.14s
seed=48242 o=1 hands=  59/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -169.49 hero_err=0 opp_err=0 dur=1.94s
seed=49242 o=0 hands=  27/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +370.37 hero_err=0 opp_err=0 dur=1.60s
seed=49242 o=1 hands=  68/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +147.06 hero_err=0 opp_err=0 dur=3.08s
seed=50242 o=0 hands=  92/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +108.70 hero_err=0 opp_err=0 dur=3.55s
seed=50242 o=1 hands= 242/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +41.32 hero_err=0 opp_err=0 dur=7.92s
seed=51242 o=0 hands= 120/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -83.33 hero_err=0 opp_err=0 dur=4.68s
seed=51242 o=1 hands= 260/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +38.46 hero_err=0 opp_err=0 dur=9.78s
seed=52242 o=0 hands=  25/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +400.00 hero_err=0 opp_err=0 dur=1.69s
seed=52242 o=1 hands=  58/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -172.41 hero_err=0 opp_err=0 dur=2.86s
seed=53242 o=0 hands=  35/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -285.71 hero_err=0 opp_err=0 dur=1.87s
seed=53242 o=1 hands= 276/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +36.23 hero_err=0 opp_err=0 dur=9.66s
seed=54242 o=0 hands= 155/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +64.52 hero_err=0 opp_err=0 dur=5.66s
seed=54242 o=1 hands=  58/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -172.41 hero_err=0 opp_err=0 dur=2.99s
seed=55242 o=0 hands=  11/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -909.09 hero_err=0 opp_err=0 dur=1.26s
seed=55242 o=1 hands= 123/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +81.30 hero_err=0 opp_err=0 dur=5.16s
seed=56242 o=0 hands=  45/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +222.22 hero_err=0 opp_err=0 dur=2.31s
seed=56242 o=1 hands=  16/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +625.00 hero_err=0 opp_err=0 dur=1.37s
seed=57242 o=0 hands=  43/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -232.56 hero_err=0 opp_err=0 dur=2.06s
seed=57242 o=1 hands= 141/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -70.92 hero_err=0 opp_err=0 dur=4.78s
