full_name	default_branch	pushed_at	stars	bot_dirs	non_template_bot_dirs
abayojumumichael/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
MatusGib/fullhouse-engine	main	2026-05-28T21:58:34Z	0	aggressor,mathematician,ref_bot_2,shark,template	
study9372/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Benjamin-Yu-Sheng-Chang/fullhouse-hackathon	main	2026-05-28T14:39:04Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Mehedi-dev-2404/fullhouse-engine	main	2026-05-27T23:44:07Z	0	aggressor,mathematician,mybot,ref_bot_2,shark,template	mybot
RemiSeg/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
ds726/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Amine0411/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
NovaIMario/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Con-TI/fullhouse-engine	main	2026-05-25T18:17:42Z	0	aggressor,mathematician,mybot,ref_bot_2,shark,template	mybot
afinner/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Yutongzhang20080108/fullhouse-engine	main	2026-05-24T20:04:02Z	0	aggressor,mathematician,ref_bot_2,shark,template	
lucashsu007-create/fullhouse-engine	main	2026-05-26T16:15:41Z	0	aggressor,mathematician,ref_bot_2,shark,template	
Ganto23/fullhouse-engine	main	2026-05-21T21:46:41Z	0	aggressor,mathematician,ref_bot_2,shark,template	
BouillieAnonymous/fullhouse-engine	main	2026-05-21T21:46:41Z	0	aggressor,mathematician,ref_bot_2,shark,template	
famadeo/fullhouse-engine	main	2026-05-22T18:04:14Z	0	aggressor,codex_holdem,mathematician,ref_bot_2,shark,template	codex_holdem
sundubu04/fullhouse-engine	main	2026-05-19T21:17:35Z	0	aggressor,mathematician,ref_bot_2,shark,template	
jickzx/fullhouse-engine	main	2026-05-19T13:55:30Z	0	aggressor,mathematician,ref_bot_2,shark,template	
AyushGupta05/fullhouse-engine	main	2026-05-14T12:20:27Z	0	aggressor,mathematician,ref_bot_2,shark,template	
chunyang-w/fullhouse-engine	main	2026-05-14T12:20:27Z	0	aggressor,mathematician,ref_bot_2,shark,template	
navaneetham-aicomputing/fullhouse-engine	main	2026-05-14T12:20:27Z	0	aggressor,mathematician,ref_bot_2,shark,template	
stoppedtime24/fullhouse-engine	main	2026-05-28T21:58:10Z	0	aggressor,mathematician,mybot,ref_bot_2,shark,template	mybot
Linglingletsgo/fullhouse-engine	main	2026-05-15T12:03:28Z	0	aggressor,mathematician,ref_bot_2,shark,template	
krishypatel2007/fullhouse-engine	main	2026-05-14T12:20:27Z	0		
vladimirfilip/fullhouse-engine	main	2026-05-28T22:37:32Z	0		
rishabhkarwal/fullhouse	main	2026-05-07T19:22:11Z	0		
aemilani/fullhouse-engine	main	2026-05-07T19:22:11Z	0		
Littleguygabe/fullhouse-poker	main	2026-05-22T08:06:32Z	0		
agrawalneel25/fullhouse-engine	main	2026-05-12T16:52:28Z	0		
Blessing-Emmanuel/fullhouse-engine	main	2026-05-07T19:22:11Z	0		
