[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip sha=e4b4a8f11f80 run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/floor_truenoop_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:candidate] C0 seed=142 hands=247/400 delta=-10000 bust=1 hero_err=0/93 p99_ms=1.890 dur=0.65s
[gate:candidate] C0 seed=143 hands=256/400 delta=-10000 bust=1 hero_err=0/180 p99_ms=0.966 dur=0.67s
[gate:candidate] C0 seed=144 hands=400/400 delta=-10000 bust=1 hero_err=0/122 p99_ms=0.986 dur=0.93s
[gate:candidate] C0 seed=145 hands=400/400 delta=-10000 bust=1 hero_err=0/58 p99_ms=1.217 dur=1.01s
[gate:candidate] C0 seed=146 hands=400/400 delta=+17800 bust=0 hero_err=0/473 p99_ms=1.144 dur=0.99s
[gate:candidate] C0 seed=147 hands=400/400 delta=-10000 bust=1 hero_err=0/86 p99_ms=1.259 dur=1.0s
[gate:candidate] C0 seed=148 hands=321/400 delta=-10000 bust=1 hero_err=0/3 p99_ms=0.452 dur=0.64s
[gate:candidate] C0 seed=149 hands=400/400 delta=-10000 bust=1 hero_err=0/47 p99_ms=3.266 dur=0.88s
[gate:candidate] C0 seed=150 hands=400/400 delta=-10000 bust=1 hero_err=0/64 p99_ms=3.817 dur=1.01s
[gate:candidate] C0 seed=151 hands=315/400 delta=-10000 bust=1 hero_err=0/94 p99_ms=0.877 dur=0.75s
[gate:candidate] C0 seed=152 hands=400/400 delta=-10000 bust=1 hero_err=0/97 p99_ms=0.976 dur=0.93s
[gate:candidate] C0 seed=153 hands=400/400 delta=+197 bust=0 hero_err=0/466 p99_ms=1.016 dur=1.05s
[gate:candidate] C0 seed=154 hands=400/400 delta=-10000 bust=1 hero_err=0/79 p99_ms=1.439 dur=1.03s
[gate:candidate] C0 seed=155 hands=400/400 delta=+1470 bust=0 hero_err=0/482 p99_ms=1.047 dur=1.05s
[gate:candidate] C0 seed=156 hands=400/400 delta=+13203 bust=0 hero_err=0/474 p99_ms=1.006 dur=1.01s
[gate:candidate] C0 seed=157 hands=400/400 delta=-10000 bust=1 hero_err=0/54 p99_ms=1.291 dur=0.81s
[gate:candidate] C0 seed=158 hands=400/400 delta=-10000 bust=1 hero_err=0/104 p99_ms=1.005 dur=0.94s
[gate:candidate] C0 seed=159 hands=400/400 delta=-10000 bust=1 hero_err=0/124 p99_ms=1.117 dur=1.03s
[gate:candidate] C0 seed=160 hands=400/400 delta=-10000 bust=1 hero_err=0/123 p99_ms=1.059 dur=1.04s
[gate:candidate] C0 seed=161 hands=400/400 delta=-10000 bust=1 hero_err=0/96 p99_ms=1.132 dur=0.95s
[gate:candidate] C0 seed=162 hands=400/400 delta=-10000 bust=1 hero_err=0/91 p99_ms=1.222 dur=1.01s
[gate:candidate] C0 seed=163 hands=373/400 delta=-10000 bust=1 hero_err=0/181 p99_ms=1.043 dur=0.94s
[gate:candidate] C0 seed=164 hands=303/400 delta=-10000 bust=1 hero_err=0/78 p99_ms=1.301 dur=0.74s
[gate:candidate] C0 seed=165 hands=400/400 delta=-10000 bust=1 hero_err=0/70 p99_ms=3.767 dur=0.95s
[gate:candidate] C0 seed=166 hands=400/400 delta=+6235 bust=0 hero_err=0/482 p99_ms=1.068 dur=1.01s
[gate:candidate] C0 seed=167 hands=400/400 delta=+5434 bust=0 hero_err=0/475 p99_ms=0.964 dur=1.04s
[gate:candidate] C0 seed=168 hands=400/400 delta=-10000 bust=1 hero_err=0/112 p99_ms=1.148 dur=1.03s
[gate:candidate] C0 seed=169 hands=400/400 delta=+6202 bust=0 hero_err=0/486 p99_ms=1.270 dur=1.01s
[gate:candidate] C0 seed=170 hands=400/400 delta=-10000 bust=1 hero_err=0/79 p99_ms=3.262 dur=0.78s
[gate:candidate] C0 seed=171 hands=400/400 delta=-10000 bust=1 hero_err=0/60 p99_ms=1.867 dur=1.01s
[gate:candidate] C0 seed=172 hands=400/400 delta=+15250 bust=0 hero_err=0/475 p99_ms=1.070 dur=0.99s
[gate:candidate] C0 seed=173 hands=400/400 delta=-10000 bust=1 hero_err=0/61 p99_ms=1.629 dur=0.99s
[gate:candidate] C0 seed=174 hands=400/400 delta=-10000 bust=1 hero_err=0/44 p99_ms=1.142 dur=0.85s
[gate:candidate] C0 seed=175 hands=400/400 delta=-10000 bust=1 hero_err=0/6 p99_ms=0.223 dur=0.97s
[gate:candidate] C0 seed=176 hands=400/400 delta=+11950 bust=0 hero_err=0/468 p99_ms=1.033 dur=0.98s
[gate:candidate] C0 seed=177 hands=400/400 delta=-10000 bust=1 hero_err=0/29 p99_ms=0.773 dur=0.73s
[gate:candidate] C0 seed=178 hands=294/400 delta=-10000 bust=1 hero_err=0/62 p99_ms=1.804 dur=0.75s
[gate:candidate] C0 seed=179 hands=400/400 delta=-10000 bust=1 hero_err=0/128 p99_ms=1.018 dur=1.03s
[gate:candidate] C0 seed=180 hands=400/400 delta=-10000 bust=1 hero_err=0/60 p99_ms=2.338 dur=1.01s
[gate:candidate] C0 seed=181 hands=400/400 delta=+260 bust=0 hero_err=0/475 p99_ms=0.996 dur=1.06s
[gate:candidate] C1 seed=142 hands=400/400 delta=-10000 bust=1 hero_err=0/126 p99_ms=0.737 dur=3.85s
[gate:candidate] C1 seed=143 hands=400/400 delta=+45971 bust=0 hero_err=0/439 p99_ms=0.784 dur=1.72s
[gate:candidate] C1 seed=144 hands=400/400 delta=-250 bust=0 hero_err=0/551 p99_ms=0.999 dur=2.6s
