[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip sha=8266cb49fd6c run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/positive_control_scaffold_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:candidate] C0 seed=142 hands=400/400 delta=-10000 bust=1 hero_err=0/401 p99_ms=0.311 dur=0.66s
[gate:candidate] C0 seed=143 hands=400/400 delta=-7250 bust=0 hero_err=0/648 p99_ms=0.732 dur=0.95s
[gate:candidate] C0 seed=144 hands=400/400 delta=-6450 bust=0 hero_err=0/550 p99_ms=0.947 dur=1.03s
[gate:candidate] C0 seed=145 hands=400/400 delta=-5450 bust=0 hero_err=0/587 p99_ms=1.713 dur=1.26s
[gate:candidate] C0 seed=146 hands=400/400 delta=-4150 bust=0 hero_err=0/605 p99_ms=0.855 dur=1.03s
[gate:candidate] C0 seed=147 hands=400/400 delta=-6400 bust=0 hero_err=0/586 p99_ms=0.689 dur=0.99s
[gate:candidate] C0 seed=148 hands=400/400 delta=-10000 bust=1 hero_err=0/388 p99_ms=0.862 dur=0.88s
[gate:candidate] C0 seed=149 hands=400/400 delta=-5000 bust=0 hero_err=0/608 p99_ms=0.761 dur=1.05s
[gate:candidate] C0 seed=150 hands=400/400 delta=-4900 bust=0 hero_err=0/592 p99_ms=0.899 dur=1.04s
[gate:candidate] C0 seed=151 hands=400/400 delta=-8150 bust=0 hero_err=0/537 p99_ms=0.928 dur=0.92s
[gate:candidate] C0 seed=152 hands=400/400 delta=-6250 bust=0 hero_err=0/552 p99_ms=0.866 dur=1.05s
[gate:candidate] C0 seed=153 hands=400/400 delta=-5300 bust=0 hero_err=0/619 p99_ms=0.888 dur=1.02s
[gate:candidate] C0 seed=154 hands=400/400 delta=-5800 bust=0 hero_err=0/581 p99_ms=0.869 dur=1.15s
[gate:candidate] C0 seed=155 hands=400/400 delta=-4200 bust=0 hero_err=0/598 p99_ms=0.832 dur=1.04s
[gate:candidate] C0 seed=156 hands=400/400 delta=-5200 bust=0 hero_err=0/623 p99_ms=0.815 dur=1.02s
[gate:candidate] C0 seed=157 hands=400/400 delta=-5800 bust=0 hero_err=0/598 p99_ms=0.875 dur=1.03s
[gate:candidate] C0 seed=158 hands=400/400 delta=-8700 bust=0 hero_err=0/492 p99_ms=0.850 dur=1.05s
[gate:candidate] C0 seed=159 hands=400/400 delta=-3450 bust=0 hero_err=0/583 p99_ms=0.881 dur=1.05s
[gate:candidate] C0 seed=160 hands=400/400 delta=-8200 bust=0 hero_err=0/603 p99_ms=0.854 dur=1.03s
[gate:candidate] C0 seed=161 hands=400/400 delta=-7900 bust=0 hero_err=0/491 p99_ms=0.850 dur=1.06s
[gate:candidate] C0 seed=162 hands=400/400 delta=-10000 bust=1 hero_err=0/391 p99_ms=0.946 dur=0.92s
[gate:candidate] C0 seed=163 hands=400/400 delta=-10000 bust=1 hero_err=0/398 p99_ms=0.876 dur=0.95s
[gate:candidate] C0 seed=164 hands=362/400 delta=-10000 bust=1 hero_err=0/415 p99_ms=0.915 dur=0.89s
[gate:candidate] C0 seed=165 hands=400/400 delta=-4400 bust=0 hero_err=0/610 p99_ms=0.911 dur=1.05s
[gate:candidate] C0 seed=166 hands=400/400 delta=-4950 bust=0 hero_err=0/601 p99_ms=0.920 dur=1.03s
[gate:candidate] C0 seed=167 hands=400/400 delta=-5350 bust=0 hero_err=0/595 p99_ms=0.826 dur=1.05s
[gate:candidate] C0 seed=168 hands=400/400 delta=-6350 bust=0 hero_err=0/567 p99_ms=0.799 dur=1.05s
[gate:candidate] C0 seed=169 hands=400/400 delta=-5500 bust=0 hero_err=0/634 p99_ms=0.877 dur=1.13s
[gate:candidate] C0 seed=170 hands=400/400 delta=-10000 bust=1 hero_err=0/384 p99_ms=0.342 dur=0.68s
[gate:candidate] C0 seed=171 hands=400/400 delta=-5450 bust=0 hero_err=0/583 p99_ms=0.775 dur=1.01s
[gate:candidate] C0 seed=172 hands=400/400 delta=-5000 bust=0 hero_err=0/631 p99_ms=0.881 dur=1.19s
[gate:candidate] C0 seed=173 hands=306/400 delta=-10000 bust=1 hero_err=0/370 p99_ms=0.888 dur=0.78s
[gate:candidate] C0 seed=174 hands=400/400 delta=-4750 bust=0 hero_err=0/591 p99_ms=0.869 dur=1.01s
[gate:candidate] C0 seed=175 hands=400/400 delta=-3300 bust=0 hero_err=0/614 p99_ms=0.946 dur=1.05s
[gate:candidate] C0 seed=176 hands=400/400 delta=-5900 bust=0 hero_err=0/542 p99_ms=0.864 dur=1.05s
[gate:candidate] C0 seed=177 hands=326/400 delta=-10000 bust=1 hero_err=0/374 p99_ms=0.341 dur=0.65s
[gate:candidate] C0 seed=178 hands=400/400 delta=-10000 bust=1 hero_err=0/438 p99_ms=0.333 dur=0.88s
[gate:candidate] C0 seed=179 hands=400/400 delta=-6850 bust=0 hero_err=0/589 p99_ms=0.336 dur=0.82s
[gate:candidate] C0 seed=180 hands=376/400 delta=-10000 bust=1 hero_err=0/388 p99_ms=0.331 dur=0.72s
[gate:candidate] C0 seed=181 hands=400/400 delta=-4650 bust=0 hero_err=0/582 p99_ms=0.849 dur=1.03s
[gate:candidate] C1 seed=142 hands=400/400 delta=-9950 bust=0 hero_err=0/512 p99_ms=0.898 dur=2.79s
[gate:candidate] C1 seed=143 hands=400/400 delta=-9450 bust=0 hero_err=0/526 p99_ms=0.824 dur=2.71s
[gate:candidate] C1 seed=144 hands=400/400 delta=-9300 bust=0 hero_err=0/520 p99_ms=0.751 dur=2.67s
[gate:candidate] C1 seed=145 hands=400/400 delta=-8900 bust=0 hero_err=0/506 p99_ms=0.555 dur=2.62s
[gate:candidate] C1 seed=146 hands=400/400 delta=-9950 bust=0 hero_err=0/520 p99_ms=0.784 dur=2.75s
[gate:candidate] C1 seed=147 hands=400/400 delta=-9750 bust=0 hero_err=0/505 p99_ms=0.596 dur=2.71s
[gate:candidate] C1 seed=148 hands=400/400 delta=-9450 bust=0 hero_err=0/526 p99_ms=0.754 dur=2.78s
[gate:candidate] C1 seed=149 hands=400/400 delta=-9850 bust=0 hero_err=0/536 p99_ms=0.777 dur=2.55s
[gate:candidate] C1 seed=150 hands=400/400 delta=-9650 bust=0 hero_err=0/525 p99_ms=0.881 dur=2.8s
[gate:candidate] C1 seed=151 hands=400/400 delta=-10000 bust=1 hero_err=0/510 p99_ms=0.921 dur=2.62s
[gate:candidate] C1 seed=152 hands=400/400 delta=-8950 bust=0 hero_err=0/524 p99_ms=0.796 dur=2.55s
[gate:candidate] C1 seed=153 hands=400/400 delta=-9000 bust=0 hero_err=0/514 p99_ms=0.417 dur=2.5s
[gate:candidate] C1 seed=154 hands=400/400 delta=-10000 bust=1 hero_err=0/523 p99_ms=0.471 dur=2.7s
[gate:candidate] C1 seed=155 hands=400/400 delta=-9150 bust=0 hero_err=0/522 p99_ms=0.751 dur=2.86s
[gate:candidate] C1 seed=156 hands=400/400 delta=-10000 bust=1 hero_err=0/491 p99_ms=0.911 dur=2.77s
[gate:candidate] C1 seed=157 hands=400/400 delta=-9650 bust=0 hero_err=0/520 p99_ms=0.913 dur=2.64s
[gate:candidate] C1 seed=158 hands=400/400 delta=-10000 bust=1 hero_err=0/533 p99_ms=0.903 dur=2.92s
[gate:candidate] C1 seed=159 hands=400/400 delta=-10000 bust=1 hero_err=0/512 p99_ms=0.348 dur=2.72s
[gate:candidate] C1 seed=160 hands=400/400 delta=-9300 bust=0 hero_err=0/541 p99_ms=0.769 dur=2.86s
[gate:candidate] C1 seed=161 hands=400/400 delta=-9450 bust=0 hero_err=0/520 p99_ms=0.364 dur=2.47s
[gate:candidate] C1 seed=162 hands=400/400 delta=-9050 bust=0 hero_err=0/536 p99_ms=0.879 dur=3.15s
[gate:candidate] C1 seed=163 hands=400/400 delta=-9000 bust=0 hero_err=0/510 p99_ms=0.341 dur=2.47s
[gate:candidate] C1 seed=164 hands=400/400 delta=-8950 bust=0 hero_err=0/541 p99_ms=0.769 dur=2.69s
[gate:candidate] C1 seed=165 hands=400/400 delta=-10000 bust=1 hero_err=0/518 p99_ms=0.789 dur=2.46s
[gate:candidate] C1 seed=166 hands=400/400 delta=-10000 bust=1 hero_err=0/461 p99_ms=0.773 dur=2.69s
[gate:candidate] C1 seed=167 hands=400/400 delta=-9750 bust=0 hero_err=0/508 p99_ms=0.768 dur=2.73s
[gate:candidate] C1 seed=168 hands=400/400 delta=-10000 bust=1 hero_err=0/512 p99_ms=1.067 dur=2.86s
[gate:candidate] C1 seed=169 hands=400/400 delta=-8450 bust=0 hero_err=0/543 p99_ms=0.853 dur=2.99s
[gate:candidate] C1 seed=170 hands=400/400 delta=-10000 bust=1 hero_err=0/514 p99_ms=0.888 dur=2.89s
[gate:candidate] C1 seed=171 hands=400/400 delta=-10000 bust=1 hero_err=0/468 p99_ms=0.843 dur=2.69s
[gate:candidate] C1 seed=172 hands=400/400 delta=-9950 bust=0 hero_err=0/504 p99_ms=2.001 dur=2.83s
[gate:candidate] C1 seed=173 hands=400/400 delta=-9150 bust=0 hero_err=0/514 p99_ms=0.797 dur=2.84s
[gate:candidate] C1 seed=174 hands=400/400 delta=-9150 bust=0 hero_err=0/514 p99_ms=0.829 dur=2.85s
[gate:candidate] C1 seed=175 hands=400/400 delta=-8300 bust=0 hero_err=0/583 p99_ms=0.861 dur=3.26s
[gate:candidate] C1 seed=176 hands=400/400 delta=-10000 bust=1 hero_err=0/510 p99_ms=1.130 dur=3.22s
[gate:candidate] C1 seed=177 hands=400/400 delta=-9650 bust=0 hero_err=0/506 p99_ms=1.041 dur=3.07s
[gate:candidate] C1 seed=178 hands=400/400 delta=-3200 bust=0 hero_err=0/631 p99_ms=0.867 dur=1.71s
[gate:candidate] C1 seed=179 hands=400/400 delta=-9300 bust=0 hero_err=0/536 p99_ms=0.977 dur=3.15s
[gate:candidate] C1 seed=180 hands=400/400 delta=-7850 bust=0 hero_err=0/535 p99_ms=1.818 dur=3.2s
