opponent,deployed_scheduled_hands,deployed_actual_hands,deployed_chip_delta,deployed_scheduled_bb100,deployed_ci_low,deployed_ci_high,simple_scheduled_hands,simple_actual_hands,simple_chip_delta,simple_scheduled_bb100,simple_ci_low,simple_ci_high,deployed_minus_simple_bb100,deployed_errors,simple_errors
template,1200,1200,2800,2.3333,-13.0417,15.5,1200,843,60000,50.0,50.0,50.0,-47.6667,0,0
aggressor,1200,81,40000,33.3333,0.0,50.0,1200,61,0,0.0,-33.3333,33.3333,33.3333,0,0
mathematician,1200,1200,31800,26.5,20.4167,32.9583,1200,415,60000,50.0,50.0,50.0,-23.5,0,0
shark,1200,921,12250,10.2083,-24.0,39.6667,1200,810,60000,50.0,50.0,50.0,-39.7917,0,0
ref_bot_2,1200,1200,31800,26.5,20.3333,33.4167,1200,415,60000,50.0,50.0,50.0,-23.5,0,0
all_in_maniac,1200,58,20000,16.6667,-16.6667,50.0,1200,54,-20000,-16.6667,-50.0,16.6667,33.3333,0,0
tight_passive,1200,1085,42543,35.4525,20.905,47.2517,1200,601,60000,50.0,50.0,50.0,-14.5475,0,0
loose_passive,1200,146,60000,50.0,50.0,50.0,1200,131,-20000,-16.6667,-50.0,16.6667,66.6667,0,0
tight_aggressive,1200,839,9550,7.9583,-25.8333,37.5417,1200,945,60000,50.0,50.0,50.0,-42.0417,0,0
loose_aggressive,1200,358,-20000,-16.6667,-50.0,16.6667,1200,89,-20000,-16.6667,-50.0,16.6667,0.0,0,0
pot_odds_threshold,1200,282,60000,50.0,50.0,50.0,1200,131,-20000,-16.6667,-50.0,16.6667,66.6667,0,0
river_value_threshold,1200,1200,34500,28.75,25.25,31.375,1200,811,60000,50.0,50.0,50.0,-21.25,0,0
