opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
all_in_maniac,43,1,0,deployed_all_in_maniac_s43_o1_h0000,-10000,river,20000,Qh 3c 7c 2d 6c,True,4s 4h,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 0}, {""action"": ""call"", ""amount"": 9900, ""seat"": 1}]"
tight_aggressive,44,0,117,deployed_tight_aggressive_s44_o0_h0117,-9775,river,20000,4d 9s 4h 7c Ah,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 875, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1125, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 0}, {""action"": ""call"", ""amount"": 2640, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 5135, ""seat"": 0}, {""action"": ""call"", ""amount"": 5135, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 450, ""seat"": 1}]"
aggressor,42,1,20,deployed_aggressor_s42_o1_h0020,-9460,river,20000,8d Jd 6h 5c 9c,True,Ah Kc,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4800, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9460, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10540, ""seat"": 0}]"
all_in_maniac,42,0,5,deployed_all_in_maniac_s42_o0_h0005,-9250,river,20000,Kc 3c 4s 6h 9h,True,Qh Td,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10750, ""seat"": 1}, {""action"": ""call"", ""amount"": 10650, ""seat"": 0}]"
shark,44,0,117,deployed_shark_s44_o0_h0117,-9150,river,20000,4d 9s 4h 7c Ah,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 600, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9150, ""seat"": 1}, {""action"": ""call"", ""amount"": 7050, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 1700, ""seat"": 0}]"
shark,42,1,62,deployed_shark_s42_o1_h0062,-8800,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8800, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11200, ""seat"": 1}]"
template,42,1,62,deployed_template_s42_o1_h0062,-8500,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 450, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1575, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6075, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8500, ""seat"": 0}]"
tight_aggressive,43,1,139,deployed_tight_aggressive_s43_o1_h0139,-7900,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4800, ""seat"": 0}, {""action"": ""call"", ""amount"": 2700, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3100, ""seat"": 0}, {""action"": ""call"", ""amount"": 3100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 4200, ""seat"": 1}]"
loose_aggressive,42,0,11,deployed_loose_aggressive_s42_o0_h0011,-7390,river,14780,Qs 3h 7h 7d 4s,True,8s Ac,Pair,"[{""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 900, ""seat"": 1}, {""action"": ""call"", ""amount"": 900, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2520, ""seat"": 1}, {""action"": ""call"", ""amount"": 2520, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 3470, ""seat"": 1}, {""action"": ""call"", ""amount"": 3470, ""seat"": 0}]"
loose_aggressive,44,1,36,deployed_loose_aggressive_s44_o1_h0036,-6388,river,20000,6s 8c 4h 7c Jd,True,As Ad,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 235, ""seat"": 0}, {""action"": ""raise"", ""amount"": 822, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4077, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6388, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 13612, ""seat"": 1}]"
