opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
all_in_maniac,44,1,3,deployed_all_in_maniac_s44_o1_h0003,-9600,river,20000,8h 5s Ac 7d 2c,True,Jc Kd,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10400, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9600, ""seat"": 1}]"
loose_aggressive,44,1,3,deployed_loose_aggressive_s44_o1_h0003,-9600,river,20000,8h 5s Ac 7d 2c,True,Jc Kd,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""raise"", ""amount"": 470, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9600, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10400, ""seat"": 0}]"
all_in_maniac,42,0,4,deployed_all_in_maniac_s42_o0_h0004,-9400,river,20000,3s 3d 9d 4d Ts,True,7d 7c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 9400, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10600, ""seat"": 1}]"
aggressor,42,0,4,deployed_aggressor_s42_o0_h0004,-9267,river,20000,3s 3d 9d 4d Ts,True,7d 7c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 9267, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10733, ""seat"": 1}]"
all_in_maniac,44,0,7,deployed_all_in_maniac_s44_o0_h0007,-9200,river,20000,Ac Kd 7h 2c 7d,True,Qd Ks,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10800, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 9200, ""seat"": 0}]"
aggressor,44,0,7,deployed_aggressor_s44_o0_h0007,-8801,river,20000,Ac Kd 7h 2c 7d,True,Qd Ks,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 800, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8801, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11199, ""seat"": 1}]"
loose_aggressive,44,0,7,deployed_loose_aggressive_s44_o0_h0007,-8757,river,20000,Ac Kd 7h 2c 7d,True,Qd Ks,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8757, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11243, ""seat"": 1}]"
loose_aggressive,42,0,4,deployed_loose_aggressive_s42_o0_h0004,-8100,river,20000,3s 3d 9d 4d Ts,True,7d 7c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 470, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11900, ""seat"": 1}]"
loose_aggressive,43,1,31,deployed_loose_aggressive_s43_o1_h0031,-7188,river,20000,7s 3d 9c 2s 6d,True,Jh Ad,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7188, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 12812, ""seat"": 0}]"
aggressor,42,1,22,deployed_aggressor_s42_o1_h0022,-6950,river,20000,5c Kc 2s Qs 6d,True,9s 9c,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 13050, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6950, ""seat"": 0}]"
