file,hand_num,street,action,amount_logged,chips_in,pot_before,owed,stack_before,invested_after,final_pot,origin,hand_delta,won,reached_showdown
0c18615c,4,preflop,fold,0,0,392,242,10000,0,20100,none,0,0,0
0c18615c,5,preflop,call,150,150,500,150,9900,250,5893,none,1843,1,0
0c18615c,5,flop,raise,433,433,650,0,9750,683,5893,none,1843,1,0
0c18615c,5,turn,raise,1010,1010,1516,0,9317,1693,5893,none,1843,1,0
0c18615c,5,river,raise,2357,2357,3536,0,8307,4050,5893,none,1843,1,0
0c18615c,24,preflop,fold,0,0,150,100,13241,0,19880,none,0,0,0
0c18615c,37,preflop,fold,0,0,150,100,13191,0,5900,none,0,0,0
0c18615c,81,preflop,call,179,179,379,179,14041,229,16205,postflop-escalation,-7988,0,1
0c18615c,81,flop,raise,458,458,687,0,13862,687,16205,postflop-escalation,-7988,0,1
0c18615c,81,flop,call,687,687,2290,687,13404,1374,16205,postflop-escalation,-7988,0,1
0c18615c,81,turn,raise,1984,1984,2977,0,12717,3358,16205,postflop-escalation,-7988,0,1
0c18615c,81,river,raise,4630,4630,6945,0,10733,7988,16205,postflop-escalation,-7988,0,1
0c18615c,106,preflop,fold,0,0,379,179,6803,50,7148,none,-50,0,0
0c18615c,118,preflop,fold,0,0,150,100,7303,0,16098,none,0,0,0
0c18615c,140,preflop,raise,200,100,300,0,9123,200,5443,none,1733,1,0
0c18615c,140,flop,raise,400,400,600,0,9023,600,5443,none,1733,1,0
0c18615c,140,turn,raise,933,933,1400,0,8623,1533,5443,none,1733,1,0
0c18615c,140,river,raise,2177,2177,3266,0,7690,3710,5443,none,1733,1,0
0c18615c,173,preflop,raise,200,200,150,100,11406,200,8983,postflop-escalation,2770,1,0
0c18615c,173,preflop,call,220,220,770,220,11206,420,8983,postflop-escalation,2770,1,0
0c18615c,173,flop,raise,660,660,990,0,10986,1080,8983,postflop-escalation,2770,1,0
0c18615c,173,turn,raise,1540,1540,2310,0,10326,2620,8983,postflop-escalation,2770,1,0
0c18615c,173,river,raise,3593,3593,5390,0,8786,6213,8983,postflop-escalation,2770,1,0
0c18615c,197,preflop,fold,0,0,150,100,13543,0,27181,none,0,0,0
0c18615c,236,preflop,fold,0,0,400,200,15339,50,7149,none,-50,0,0
0c18615c,248,preflop,fold,0,0,150,100,15439,0,25896,none,0,0,0
0c18615c,252,preflop,raise,200,150,150,50,15289,200,5072,none,-2536,0,1
0c18615c,252,flop,raise,266,266,400,0,15139,466,5072,none,-2536,0,1
0c18615c,252,turn,raise,621,621,932,0,14873,1087,5072,none,-2536,0,1
0c18615c,252,river,raise,1449,1449,2174,0,14252,2536,5072,none,-2536,0,1
0c18615c,269,preflop,fold,0,0,150,100,12803,0,43747,none,0,0,0
0c18615c,280,preflop,fold,0,0,379,179,13731,50,12001,none,-50,0,0
0c18615c,300,preflop,call,179,179,379,179,13431,229,14159,preflop-raise,678,1,0
0c18615c,300,preflop,all_in,13481,13252,907,220,13252,13481,14159,preflop-raise,678,1,0
0c18615c,317,preflop,fold,0,0,150,100,14992,0,5045,none,0,0,0
0c18615c,321,preflop,fold,0,0,150,100,15142,0,13284,none,0,0,0
0c18615c,409,preflop,raise,200,100,250,0,19575,200,5716,none,-2833,0,1
0c18615c,409,flop,raise,300,300,450,0,19475,500,5716,none,-2833,0,1
0c18615c,409,turn,raise,700,700,1050,0,19175,1200,5716,none,-2833,0,1
0c18615c,409,river,raise,1633,1633,2450,0,18475,2833,5716,none,-2833,0,1
0c18615c,424,preflop,raise,200,100,250,0,16909,200,5716,none,-2833,0,1
0c18615c,424,flop,raise,300,300,450,0,16809,500,5716,none,-2833,0,1
0c18615c,424,turn,raise,700,700,1050,0,16509,1200,5716,none,-2833,0,1
0c18615c,424,river,raise,1633,1633,2450,0,15809,2833,5716,none,-2833,0,1
0c18615c,441,preflop,raise,200,200,150,100,15259,200,5715,none,-1533,0,0
0c18615c,441,flop,raise,400,400,600,0,15059,600,5715,none,-1533,0,0
0c18615c,441,turn,raise,933,933,1400,0,14659,1533,5715,none,-1533,0,0
0c18615c,441,river,fold,0,0,5715,2449,13726,1533,5715,none,-1533,0,0
0c18615c,476,preflop,raise,200,150,150,50,15769,200,9600,none,-2536,0,0
0c18615c,476,flop,raise,266,266,400,0,15619,466,9600,none,-2536,0,0
0c18615c,476,turn,raise,621,621,932,0,15353,1087,9600,none,-2536,0,0
0c18615c,476,river,raise,1449,1449,2174,0,14732,2536,9600,none,-2536,0,0
0c18615c,476,river,fold,0,0,9600,4528,13283,2536,9600,none,-2536,0,0
0c18615c,486,preflop,raise,200,200,150,100,13999,200,5443,none,1733,1,0
0c18615c,486,flop,raise,400,400,600,0,13799,600,5443,none,1733,1,0
0c18615c,486,turn,raise,933,933,1400,0,13399,1533,5443,none,1733,1,0
0c18615c,486,river,raise,2177,2177,3266,0,12466,3710,5443,none,1733,1,0
0c18615c,492,preflop,fold,0,0,150,100,15432,0,44568,none,0,0,0
0c18615c,500,preflop,raise,200,150,150,50,15432,200,44984,none,-466,0,0
0c18615c,500,flop,raise,266,266,400,0,15282,466,44984,none,-466,0,0
0c18615c,500,flop,fold,0,0,44984,44052,15016,466,44984,none,-466,0,0
0c18615c,506,preflop,raise,200,150,150,50,13999,200,46417,none,-466,0,0
0c18615c,506,flop,raise,266,266,400,0,13849,466,46417,none,-466,0,0
