file,hand_num,thorp_cards,board,n_villains,villain_cards,commit_street,equity_at_commit,equity_river,invested,final_pot,delta,won,origin,commit_frac
0c18615c,81,Jh Js,8d Ah 2h 7c 3h,1,Ad Qc,river,0.0,0.0,7988,16205,-7988,0,postflop-escalation,0.567
0c18615c,252,Tc Jc,7h Ad 2s 4c 8d,1,As 8s,river,0.0,0.0,2536,5072,-2536,0,none,0.165
0c18615c,409,Td Jc,2c 3s 3d Kd 7d,1,5s 3c,river,0.0,0.0,2833,5716,-2833,0,none,0.144
0c18615c,424,Ks 9h,Kd 5h 8h 6d Qs,1,8s 8d,river,0.0,0.0,2833,5716,-2833,0,none,0.167
0c18615c,503,4s Qh,Jh 9c 5h 5s 9d,1,5c 7c,river,0.0,0.0,1267,2534,-1267,0,none,0.084
0c18615c,555,Ts 9c,7s 3c Ac 4c 2s,1,Jd Th,preflop,0.2623,0.0,10611,60000,-10611,0,preflop-flat,1.0
18fc0a11,22,Ac Jd,5h 8d 4c Qs 5c,1,9h Ah,river,1.0,1.0,3810,7620,3810,1,none,0.359
18fc0a11,76,5s Ts,8d 4s 2h 2d 3d,1,6c 5c,river,0.0,0.0,2536,5072,-2536,0,none,0.14
18fc0a11,79,Ah Qs,7d Qc Jd Ac 3h,1,6c 6h,river,1.0,1.0,1944,3938,1994,1,none,0.123
18fc0a11,88,Ks 5h,Jd Ad 8c 6c 6s,1,9s Kd,river,0.5,0.5,2536,5072,0,0,none,0.141
18fc0a11,97,9c Ah,Tc Kc 8h 4d Kd,1,3d Ad,river,1.0,1.0,2833,5716,2883,1,none,0.158
18fc0a11,127,Qc 2d,Kd Ts 7c 6h Ad,1,Js 7d,river,0.0,0.0,2833,5716,-2833,0,none,0.111
18fc0a11,128,Ad Qd,6d 5h 6c As 2h,1,Kh Qh,river,1.0,1.0,3810,7620,3810,1,none,0.168
18fc0a11,192,6h 5c,Qs 3h Jc 9s Ah,1,Kh 8c,river,0.0,0.0,2833,5716,-2833,0,none,0.114
18fc0a11,253,6h 8s,2s 7h Ks Ad 3h,1,Jc Td,river,0.0,0.0,2536,5072,-2536,0,none,0.132
18fc0a11,257,Ah Jc,9c 7d 3h 9d Kh,1,4h As,river,1.0,1.0,2833,5716,2883,1,none,0.165
18fc0a11,258,7s Tc,3h 8h 9s Ac Ks,1,Jh Td,river,0.0,0.0,2536,5072,-2536,0,none,0.127
18fc0a11,277,As 6d,Ts Kd 3s 8s Td,1,4d 4c,river,0.0,0.0,2833,5716,-2833,0,none,0.15
18fc0a11,282,Ks Qc,9c Ac 5d 8c 6s,1,Qd 8s,river,0.0,0.0,2833,5716,-2833,0,none,0.161
18fc0a11,297,3s Th,8s 2d Jc 6s 7h,1,Ac 4h,river,0.0,0.0,2833,5716,-2833,0,none,0.183
18fc0a11,327,8s 3d,4c Qc Ac 2h 8d,1,Ks 3s,river,1.0,1.0,2833,5716,2883,1,none,0.19
18fc0a11,347,6c As,Ad Td 4c 2c Qh,1,6d 6s,river,1.0,1.0,1055,1155,100,1,none,0.052
18fc0a11,349,7s Ts,Qd 9h Ah 4s 9d,1,8h Kh,river,0.0,0.0,2536,5072,-2536,0,none,0.124
18fc0a11,388,Qd Ad,3c 3d 7h 7c Qc,1,Ah Kh,river,1.0,1.0,3810,7620,3810,1,none,0.181
18fc0a11,425,4c 9d,6d 8s 7h Ts Tc,1,2c 8c,river,1.0,1.0,1468,1618,150,1,none,0.056
18fc0a11,450,5c Ks,9c 8c 6s As 6h,1,Jh Kc,river,0.0,0.0,1267,2534,-1267,0,none,0.046
18fc0a11,456,5s Th,Ad Qc 4d 4h 8c,1,Tc Kd,river,0.0,0.0,1267,2534,-1267,0,none,0.049
18fc0a11,512,3h Kd,3c 4h 7c 7h 6d,1,Kh Jd,river,1.0,1.0,1267,2534,1267,1,none,0.047
18fc0a11,554,2h 7h,Qd 5d 6d 4h 9s,1,5h Ah,river,0.0,0.0,1267,2534,-1267,0,none,0.044
18fc0a11,570,Kd Qs,Ac 3c 6s 7s 8h,1,4h 6h,river,0.0,0.0,1267,2534,-1267,0,none,0.044
18fc0a11,588,4c 5s,3h Tc 2h Qc 5h,1,Ac 6c,river,1.0,1.0,1267,2534,1267,1,none,0.047
18fc0a11,650,Qd Qh,Js 8c 3c Qs 9d,1,9c Ah,river,1.0,1.0,1267,2534,1267,1,none,0.042
18fc0a11,744,2h 7s,Kd Qs 9c Ks Jh,1,4s As,river,0.0,0.0,1267,2534,-1267,0,none,0.038
35272026,17,Jc Jd,8s 5d Js 8c 8h,1,Ad Qh,river,1.0,1.0,3760,7620,3860,1,none,0.378
35272026,42,Qh Ah,Kc As Ks Qd 8s,1,Ac 4c,river,0.5,0.5,5219,10788,175,1,none,0.33
35272026,48,Jh Jd,4d 4h 5d Kh Ac,1,Ad Tc,river,0.0,0.0,2008,4066,-2008,0,none,0.127
35272026,98,Jh Kc,Qc Td 6d 9d 3d,1,7c 7d,river,0.0,0.0,4292,8884,-4292,0,none,0.305
35272026,143,Ks Qs,9h 8s Kc Ah 7h,1,Ac Ad,preflop,0.1623,0.0,10162,19428,-8966,0,preflop-raise,1.0
35272026,189,6c 6h,8s Qh Qs Ac Jc,1,Ad 3s,preflop,0.7023,0.0,46,1215,-46,0,preflop-raise,1.0
3f055acd,25,7c 4c,2d Ad Ac Tc 5s,1,3s 3c,river,0.0,0.0,3413,6976,-3413,0,none,0.322
3f055acd,128,4c 4h,2h 7h 8s 8c 4d,1,2c Ac,river,1.0,1.0,2833,5716,2883,1,none,0.155
3f055acd,130,4c 8c,9h Qc Kh 8d 4s,1,Ad Qh,river,1.0,1.0,1261,2622,1361,1,none,0.06
3f055acd,170,Qh Ac,Qd Tc As 3h 8d,1,Qs Qc,river,0.0,0.0,13833,20333,-5650,0,postflop-escalation,0.53
3f055acd,215,Jh As,Ad 9h 4c 3d 3h,1,8d 6s,river,1.0,1.0,1311,1418,107,1,none,0.055
3f055acd,223,2s Kd,Kh Qs Tc Td Ah,1,Jh As,river,0.0,0.0,14101,25851,-11500,0,postflop-escalation,0.584
3f055acd,344,Kh As,2d Qs 7c 4h 7d,1,Kd Ah,preflop,0.4953,0.5,18085,23290,125,1,preflop-raise,1.0
55a52ba6,16,7d 2h,Ts Ad 3s As 9d,1,2d 2c,river,0.0,0.0,3123,6346,-3123,0,postflop-escalation,0.506
55a52ba6,43,Qd 2c,9h Qc Qs 6c 4s,1,7s 6s,river,1.0,1.0,2536,5072,2536,1,postflop-escalation,0.717
