opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
aggressor,45,0,0,deployed_aggressor_s45_o0_h0000,-10000,river,20000,8d Jd Ad Td 7h,True,Ah Ks,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1600, ""seat"": 1}, {""action"": ""raise"", ""amount"": 5600, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 0}]"
all_in_maniac,43,1,0,deployed_all_in_maniac_s43_o1_h0000,-10000,river,20000,Qh 3c 7c 2d 6c,True,4s 4h,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 0}, {""action"": ""call"", ""amount"": 9900, ""seat"": 1}]"
all_in_maniac,45,0,0,deployed_all_in_maniac_s45_o0_h0000,-10000,river,20000,8d Jd Ad Td 7h,True,Ah Ks,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 0}]"
all_in_maniac,47,1,2,deployed_all_in_maniac_s47_o1_h0002,-9850,river,20000,6s 5d 6d As Td,True,Qh Js,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10150, ""seat"": 0}, {""action"": ""call"", ""amount"": 10050, ""seat"": 1}]"
all_in_maniac,51,1,2,deployed_all_in_maniac_s51_o1_h0002,-9850,river,20000,5c 3c Kc Js 4c,True,7c 8c,Flush,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10150, ""seat"": 0}, {""action"": ""call"", ""amount"": 10050, ""seat"": 1}]"
shark,47,0,11,deployed_shark_s47_o0_h0011,-9750,river,20000,3d 8s 2c 5d 7c,True,Qc As,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 600, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9750, ""seat"": 1}, {""action"": ""call"", ""amount"": 7650, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 500, ""seat"": 0}]"
all_in_maniac,50,1,4,deployed_all_in_maniac_s50_o1_h0004,-9500,river,20000,4h 5c 2s 2c 4c,True,As 9c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10500, ""seat"": 0}, {""action"": ""call"", ""amount"": 10400, ""seat"": 1}]"
all_in_maniac,51,0,7,deployed_all_in_maniac_s51_o0_h0007,-9500,river,20000,2d 4h 8h 6d Td,True,Ac 3c,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 9500, ""seat"": 0}]"
template,49,0,11,deployed_template_s49_o0_h0011,-9450,river,20000,8s Qs 4d 5h 2s,True,Qd Kc,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 450, ""seat"": 1}, {""action"": ""call"", ""amount"": 350, ""seat"": 0}, {""action"": ""raise"", ""amount"": 594, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4482, ""seat"": 1}, {""action"": ""raise"", ""amount"": 8426, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 9000, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 1674, ""seat"": 0}]"
tight_aggressive,49,0,11,deployed_tight_aggressive_s49_o0_h0011,-9450,river,20000,8s Qs 4d 5h 2s,True,Qd Kc,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 330, ""seat"": 0}, {""action"": ""raise"", ""amount"": 994, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2197, ""seat"": 0}, {""action"": ""raise"", ""amount"": 5149, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10300, ""seat"": 0}, {""action"": ""call"", ""amount"": 5151, ""seat"": 1}]"
all_in_maniac,50,0,9,deployed_all_in_maniac_s50_o0_h0009,-9350,river,20000,Ah 6d 3h 8s Tc,True,Ks Th,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10650, ""seat"": 1}, {""action"": ""call"", ""amount"": 10550, ""seat"": 0}]"
all_in_maniac,42,0,5,deployed_all_in_maniac_s42_o0_h0005,-9250,river,20000,Kc 3c 4s 6h 9h,True,Qh Td,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10750, ""seat"": 1}, {""action"": ""call"", ""amount"": 10650, ""seat"": 0}]"
aggressor,50,0,12,deployed_aggressor_s50_o0_h0012,-8700,river,20000,9d 2s 9c 4h 9s,True,Ks As,Trips,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1200, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4200, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11300, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8700, ""seat"": 0}]"
tight_aggressive,44,0,117,deployed_tight_aggressive_s44_o0_h0117,-8575,river,20000,4d 9s 4h 7c Ah,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 875, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1125, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 0}, {""action"": ""call"", ""amount"": 2640, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6124, ""seat"": 0}, {""action"": ""call"", ""amount"": 6124, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 661, ""seat"": 0}]"
template,42,1,62,deployed_template_s42_o1_h0062,-8500,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 450, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1575, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6075, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8500, ""seat"": 0}]"
