mix,thorp_seat,seed,hands_played,duration_s,thorp_delta,thorp_final_stack,decisions,fold_defaults,illegal_action_names,timeouts,exceptions,busted,bust_hand,bust_street
reference_field,0,42,800,1.78,47150,57150,707,0,0,0,0,False,,
reference_field,1,43,800,1.63,33030,43030,622,0,0,0,0,False,,
reference_field,2,44,800,2.42,20550,30550,1081,0,0,0,0,False,,
reference_field,3,45,800,1.52,-10000,0,3,0,0,0,0,True,0,river
reference_field,4,46,800,2.0,-10000,0,132,0,0,0,0,True,91,river
reference_field,5,47,800,1.57,-10000,0,47,0,0,0,0,True,29,river
aggro_collision,0,42,126,0.56,-10000,0,64,0,0,0,0,True,24,river
aggro_collision,1,43,143,0.48,-10000,0,44,0,0,0,0,True,33,river
aggro_collision,2,44,296,1.06,50000,60000,467,0,0,0,0,False,,
aggro_collision,3,45,800,1.35,-10000,0,28,0,0,0,0,True,20,river
aggro_collision,4,46,150,0.54,-10000,0,32,0,0,0,0,True,20,river
aggro_collision,5,47,532,1.22,50000,60000,585,0,0,0,0,False,,
balanced_heavy,0,42,800,2.01,39000,49000,654,0,0,0,0,False,,
balanced_heavy,1,43,800,2.08,15100,25100,674,0,0,0,0,False,,
balanced_heavy,2,44,800,2.06,7200,17200,676,0,0,0,0,False,,
balanced_heavy,3,45,800,2.14,-10000,0,399,0,0,0,0,True,314,river
balanced_heavy,4,46,800,2.02,-10000,0,247,0,0,0,0,True,193,river
balanced_heavy,5,47,800,2.16,32650,42650,735,0,0,0,0,False,,
