mix,seed,thorp_seat,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
adaptive_overfold_pressure,2026060730,0,328,adaptive_overfold_pressure_seat0_seed2026060730_h0328,flop,flop_cbet_or_probe,adaptive_overfold_5,raise,140,340,10,11,340,-100,100,flop,340,False,5d 8h 5h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 5}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 50, ""seat"": 5}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 140, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_pressure,2026060730,0,382,adaptive_overfold_pressure_seat0_seed2026060730_h0382,flop,flop_cbet_or_probe,adaptive_overfold_3,raise,309,793,11,12,793,-217,217,flop,793,False,3s Td 9h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 5}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""raise"", ""amount"": 217, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 117, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 309, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_pressure,2026060730,0,420,adaptive_overfold_pressure_seat0_seed2026060730_h0420,flop,flop_cbet_or_probe,adaptive_overfold_2,raise,607,1475,11,13,1475,-217,217,flop,1475,False,3h 6c Kc,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""raise"", ""amount"": 217, ""seat"": 5}, {""action"": ""call"", ""amount"": 217, ""seat"": 0}, {""action"": ""call"", ""amount"": 167, ""seat"": 1}, {""action"": ""call"", ""amount"": 117, ""seat"": 2}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 607, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060730,0,442,adaptive_overfold_pressure_seat0_seed2026060730_h0442,flop,flop_cbet_or_probe,adaptive_overfold_5,raise,165,465,10,11,465,-100,100,turn,1108,False,3c Ad Ks 9d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 5}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""call"", ""amount"": 100, ""seat"": 4}, {""action"": ""call"", ""amount"": 50, ""seat"": 5}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 165, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""call"", ""amount"": 165, ""seat"": 4}, {""action"": ""check"", ""amount"": 0, ""seat"": 5}, {""action"": ""raise"", ""amount"": 478, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}]"
adaptive_overfold_pressure,2026060730,0,742,adaptive_overfold_pressure_seat0_seed2026060730_h0742,flop,flop_cbet_or_probe,adaptive_overfold_5,raise,128,328,10,11,328,-100,100,flop,328,False,2h 5h Qs,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 5}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 50, ""seat"": 5}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 128, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_pressure,2026060730,0,797,adaptive_overfold_pressure_seat0_seed2026060730_h0797,turn,turn_probe,adaptive_overfold_1,raise,760,1760,14,15,1760,-500,500,turn,1760,False,3s 3h 7s 2h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 250, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 760, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_pressure,2026060730,0,798,adaptive_overfold_pressure_seat0_seed2026060730_h0798,flop,flop_cbet_or_probe,adaptive_overfold_3,raise,736,1886,11,12,1886,-500,500,flop,1886,False,7s 4d 6s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 2}, {""action"": ""call"", ""amount"": 100, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""call"", ""amount"": 400, ""seat"": 3}, {""action"": ""raise"", ""amount"": 736, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_pressure,2026060731,1,206,adaptive_overfold_pressure_seat1_seed2026060731_h0206,flop,flop_cbet_or_probe,adaptive_overfold_1,raise,736,1886,11,12,1886,-500,500,flop,1886,False,7h Ac 3s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 3}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 736, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,239,adaptive_overfold_pressure_seat1_seed2026060731_h0239,turn,turn_barrel,adaptive_overfold_5,raise,492,1140,17,18,1140,-274,274,turn,1140,False,6d Jc 8h 6s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 100, ""seat"": 5}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 174, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""call"", ""amount"": 174, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 492, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,353,adaptive_overfold_pressure_seat1_seed2026060731_h0353,flop,flop_cbet_or_probe,adaptive_overfold_3,raise,174,474,12,14,474,-100,100,flop,474,False,Kd 4h 5d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""call"", ""amount"": 100, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 174, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
