opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
adaptive_overfold_exploiter,2026060739,1,22,deployed_adaptive_overfold_exploiter_s2026060739_o1_h0022,-3495,flop,10265,8c 6d 3d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""raise"", ""amount"": 759, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1520, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3495, ""seat"": 1}, {""action"": ""call"", ""amount"": 1975, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3275, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060740,0,56,deployed_adaptive_overfold_exploiter_s2026060740_o0_h0056,-2905,river,8598,2c 7c 7s 4c 5h,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 350, ""seat"": 1}, {""action"": ""call"", ""amount"": 350, ""seat"": 0}, {""action"": ""raise"", ""amount"": 912, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2305, ""seat"": 0}, {""action"": ""call"", ""amount"": 1393, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2788, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060723,0,103,deployed_adaptive_overfold_exploiter_s2026060723_o0_h0103,-2000,river,5920,Qs 9s Qd Qc 2h,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 500, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 0}, {""action"": ""call"", ""amount"": 1000, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1920, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060725,0,164,deployed_adaptive_overfold_exploiter_s2026060725_o0_h0164,-1830,flop,6173,Kd Kh 2d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 523, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1830, ""seat"": 0}, {""action"": ""call"", ""amount"": 1307, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2513, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060726,1,41,deployed_adaptive_overfold_exploiter_s2026060726_o1_h0041,-1830,preflop,5495,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 523, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1830, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3665, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060736,1,32,deployed_adaptive_overfold_exploiter_s2026060736_o1_h0032,-1736,river,3472,9d Th Ah 3d 9s,True,Kd 7d,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""call"", ""amount"": 117, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""call"", ""amount"": 217, ""seat"": 0}, {""action"": ""raise"", ""amount"": 434, ""seat"": 1}, {""action"": ""call"", ""amount"": 434, ""seat"": 0}, {""action"": ""raise"", ""amount"": 868, ""seat"": 1}, {""action"": ""call"", ""amount"": 868, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060724,1,110,deployed_adaptive_overfold_exploiter_s2026060724_o1_h0110,-1169,river,2338,2s Qd 8c 5s 3h,True,2h 3d,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 304, ""seat"": 0}, {""action"": ""call"", ""amount"": 304, ""seat"": 1}, {""action"": ""raise"", ""amount"": 665, ""seat"": 1}, {""action"": ""call"", ""amount"": 665, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060726,1,26,deployed_adaptive_overfold_exploiter_s2026060726_o1_h0026,-1000,turn,3520,Kc 2h 2s Qs,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1520, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060734,1,126,deployed_adaptive_overfold_exploiter_s2026060734_o1_h0126,-893,river,1786,3h Td 9h Ts 8h,True,3s 6s,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""call"", ""amount"": 128, ""seat"": 1}, {""action"": ""raise"", ""amount"": 228, ""seat"": 1}, {""action"": ""call"", ""amount"": 228, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 437, ""seat"": 0}, {""action"": ""call"", ""amount"": 437, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060729,1,102,deployed_adaptive_overfold_exploiter_s2026060729_o1_h0102,-800,river,1600,9h Td Ts Ah Jh,True,Ks 6c,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}]"
