opponent,seed,orientation,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
adaptive_overfold_exploiter,2026060720,0,149,deployed_adaptive_overfold_exploiter_s2026060720_o0_h0149,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Js Kh 6c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 128, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060720,1,116,deployed_adaptive_overfold_exploiter_s2026060720_o1_h0116,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Js 5h 8d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060721,0,23,deployed_adaptive_overfold_exploiter_s2026060721_o0_h0023,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,140,340,7,8,340,-100,100,flop,340,False,Tc Th 3c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 140, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060721,0,110,deployed_adaptive_overfold_exploiter_s2026060721_o0_h0110,turn,turn_barrel,adaptive_overfold_exploiter,raise,775,1915,9,10,1915,-570,570,turn,1915,False,Js Ks Th 2s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 320, ""seat"": 1}, {""action"": ""call"", ""amount"": 320, ""seat"": 0}, {""action"": ""raise"", ""amount"": 775, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060722,0,173,deployed_adaptive_overfold_exploiter_s2026060722_o0_h0173,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Ad Jd 5d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 128, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060723,0,172,deployed_adaptive_overfold_exploiter_s2026060723_o0_h0172,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,320,820,6,7,820,-250,250,flop,820,False,Ac 3h 8c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 320, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060723,1,104,deployed_adaptive_overfold_exploiter_s2026060723_o1_h0104,turn,turn_probe,adaptive_overfold_exploiter,raise,304,704,10,11,704,-200,200,turn,704,False,Ts Th Ah 2h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 304, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060724,1,112,deployed_adaptive_overfold_exploiter_s2026060724_o1_h0112,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,700,1700,8,9,1700,-500,500,flop,1700,False,Kd As 5d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 700, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060725,0,164,deployed_adaptive_overfold_exploiter_s2026060725_o0_h0164,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,2513,6173,8,9,6173,-1830,1830,flop,6173,False,Kd Kh 2d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 523, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1830, ""seat"": 0}, {""action"": ""call"", ""amount"": 1307, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2513, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060725,1,174,deployed_adaptive_overfold_exploiter_s2026060725_o1_h0174,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,640,1640,8,9,1640,-500,500,flop,1640,False,3s 7c 4c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 640, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
