opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
adaptive_overfold_exploiter,2026060719,0,162,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0162,-1830,flop,6002,7c 2h 6d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 523, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1830, ""seat"": 0}, {""action"": ""call"", ""amount"": 1307, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2342, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,173,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0173,-759,preflop,2279,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""raise"", ""amount"": 759, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1520, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,1,126,deployed_adaptive_overfold_exploiter_s2026060719_o1_h0126,-500,flop,1640,3c 5c 4s,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 640, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060719,1,64,deployed_adaptive_overfold_exploiter_s2026060719_o1_h0064,-434,turn,1527,Qh Ad 5s Js,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""call"", ""amount"": 117, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""call"", ""amount"": 217, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 659, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060719,1,31,deployed_adaptive_overfold_exploiter_s2026060719_o1_h0031,-250,preflop,773,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 523, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060719,0,3,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0003,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,49,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0049,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,57,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0057,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,61,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0061,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,109,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0109,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,121,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0121,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,0,143,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0143,-100,preflop,317,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
