opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
overfold_exploiter,2026060730,1,99,deployed_overfold_exploiter_s2026060730_o1_h0099,-2513,river,5026,9h Th 7d 7h Qs,True,Ad 9d,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 310, ""seat"": 0}, {""action"": ""call"", ""amount"": 310, ""seat"": 1}, {""action"": ""raise"", ""amount"": 806, ""seat"": 0}, {""action"": ""call"", ""amount"": 806, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1147, ""seat"": 0}, {""action"": ""call"", ""amount"": 1147, ""seat"": 1}]"
overfold_exploiter,2026060719,0,162,deployed_overfold_exploiter_s2026060719_o0_h0162,-1914,flop,6201,7c 2h 6d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 547, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1914, ""seat"": 0}, {""action"": ""call"", ""amount"": 1367, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2373, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060728,0,103,deployed_overfold_exploiter_s2026060728_o0_h0103,-1661,flop,5381,2d 9d 4d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 227, ""seat"": 1}, {""action"": ""raise"", ""amount"": 794, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1661, ""seat"": 1}, {""action"": ""call"", ""amount"": 867, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2059, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060712,1,181,deployed_overfold_exploiter_s2026060712_o1_h0181,-1366,river,2732,8s 6s Tc 4h 2d,True,Ks 7s,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 310, ""seat"": 0}, {""action"": ""call"", ""amount"": 310, ""seat"": 1}, {""action"": ""raise"", ""amount"": 806, ""seat"": 0}, {""action"": ""call"", ""amount"": 806, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}]"
overfold_exploiter,2026060719,1,126,deployed_overfold_exploiter_s2026060719_o1_h0126,-1120,turn,3852,3c 5c 4s Jd,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 620, ""seat"": 0}, {""action"": ""call"", ""amount"": 620, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1612, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
overfold_exploiter,2026060725,0,147,deployed_overfold_exploiter_s2026060725_o0_h0147,-1004,river,2008,6h 8s 9c 3c 3h,True,2s 6s,Two Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""call"", ""amount"": 124, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 322, ""seat"": 1}, {""action"": ""call"", ""amount"": 322, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 458, ""seat"": 1}, {""action"": ""call"", ""amount"": 458, ""seat"": 0}]"
overfold_exploiter,2026060720,1,58,deployed_overfold_exploiter_s2026060720_o1_h0058,-794,preflop,2455,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 227, ""seat"": 0}, {""action"": ""raise"", ""amount"": 794, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1661, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
overfold_exploiter,2026060721,0,110,deployed_overfold_exploiter_s2026060721_o0_h0110,-560,turn,1926,Js Ks Th 2s,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 310, ""seat"": 1}, {""action"": ""call"", ""amount"": 310, ""seat"": 0}, {""action"": ""raise"", ""amount"": 806, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060711,0,83,deployed_overfold_exploiter_s2026060711_o0_h0083,-546,river,1092,2h 9h Td 5s Kd,True,6d 2s,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""call"", ""amount"": 124, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 322, ""seat"": 1}, {""action"": ""call"", ""amount"": 322, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}]"
overfold_exploiter,2026060713,1,24,deployed_overfold_exploiter_s2026060713_o1_h0024,-546,river,1092,2h 4h 6h 3s 8h,True,Ts 2d,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 124, ""seat"": 0}, {""action"": ""call"", ""amount"": 124, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 322, ""seat"": 0}, {""action"": ""call"", ""amount"": 322, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}]"
