opponent,seed,orientation,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
overfold_exploiter,2026060710,0,9,deployed_overfold_exploiter_s2026060710_o0_h0009,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,Kd Qc As,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,13,deployed_overfold_exploiter_s2026060710_o0_h0013,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,Qs 9s Qd,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,17,deployed_overfold_exploiter_s2026060710_o0_h0017,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,2s Th 8s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,29,deployed_overfold_exploiter_s2026060710_o0_h0029,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,Ac Ah Td,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,31,deployed_overfold_exploiter_s2026060710_o0_h0031,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,7h Ts 2h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,43,deployed_overfold_exploiter_s2026060710_o0_h0043,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,3s Kc 5c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,53,deployed_overfold_exploiter_s2026060710_o0_h0053,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,7h 7s 8h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,57,deployed_overfold_exploiter_s2026060710_o0_h0057,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,6s 6c 3c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,63,deployed_overfold_exploiter_s2026060710_o0_h0063,flop,flop_cbet_or_probe,overfold_exploiter,raise,620,1620,8,9,1620,-500,500,flop,1620,False,Ac 7s 9c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 620, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
overfold_exploiter,2026060710,0,67,deployed_overfold_exploiter_s2026060710_o0_h0067,flop,flop_cbet_or_probe,overfold_exploiter,raise,124,324,7,8,324,-100,100,flop,324,False,2c 5s Tc,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 124, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
